shipdate,productid,orderid,totalprice,PRODUCTID,PRODUCTGROUPNAME,campaignid,shipyear,freeshippingflag,channel,log_totalprice
2012-02-07 00:00:00,11093,1072930,31.45,11093,OCCASION,2141,2012,N,PARTNER,3.4483989831464497
2012-09-25 00:00:00,11089,1043994,33.32,11089,OCCASION,2141,2012,N,PARTNER,3.506157817298642
2011-05-25 00:00:00,11088,1039907,17.41,11088,OCCASION,2236,2011,N,WEB,2.8570447537800976
2014-07-18 00:00:00,12137,1121078,54.95,12137,OCCASION,2236,2014,N,WEB,4.006423680849631
2015-12-07 00:00:00,11093,1442156,35.01,11093,OCCASION,2141,2015,N,PARTNER,3.555633734966574
2016-07-05 00:00:00,13924,1591261,22.95,13924,OCCASION,2146,2016,Y,AD,3.133317936506554
2014-06-24 00:00:00,12139,1119338,25.95,12139,OCCASION,2236,2014,N,WEB,3.2561716096118976
2014-05-07 00:00:00,12139,1103930,23.35,12139,OCCASION,2141,2014,N,PARTNER,3.150596984114906
2011-09-21 00:00:00,11088,1067253,17.57,11088,OCCASION,2141,2011,N,PARTNER,2.866192902199006
2015-06-22 00:00:00,11093,1324206,38.9,11093,OCCASION,2236,2015,N,WEB,3.6609942506244004
2014-11-13 00:00:00,12851,1166329,25.95,12851,OCCASION,2173,2014,N,AD,3.2561716096118976
2016-02-08 00:00:00,12139,1487226,25.95,12139,OCCASION,2204,2016,N,REFERRAL,3.2561716096118976
2015-10-08 00:00:00,12851,1400183,25.95,12851,OCCASION,2236,2015,N,WEB,3.2561716096118976
2012-01-18 00:00:00,11071,1064561,17.21,11071,OCCASION,2141,2012,N,PARTNER,2.845490610223448
2015-03-09 00:00:00,12174,1256047,25.95,12174,OCCASION,2204,2015,N,REFERRAL,3.2561716096118976
2014-11-06 00:00:00,12851,1161116,51.9,12851,OCCASION,2173,2014,N,AD,3.949318790171843
2013-09-09 00:00:00,11107,1103081,15.95,11107,OCCASION,2236,2013,N,WEB,2.7694588292308535
2014-03-18 00:00:00,11098,1103965,26.95,11098,OCCASION,2141,2014,N,PARTNER,3.2939832973550063
2015-12-17 00:00:00,12139,1451185,25.95,12139,OCCASION,2173,2015,N,AD,3.2561716096118976
2013-10-03 00:00:00,11107,1112476,0.0,11107,OCCASION,2141,2013,N,PARTNER,-inf
2014-08-29 00:00:00,12139,1142836,25.95,12139,OCCASION,2236,2014,N,WEB,3.2561716096118976
2013-05-15 00:00:00,11105,1103128,15.95,11105,OCCASION,2236,2013,N,WEB,2.7694588292308535
2013-06-13 00:00:00,11098,1087059,26.95,11098,OCCASION,2141,2013,N,PARTNER,3.2939832973550063
2013-01-03 00:00:00,11084,1070183,32.95,11084,OCCASION,2236,2013,N,WEB,3.4949912609485163
2013-08-14 00:00:00,11098,1098274,29.95,11098,OCCASION,2173,2013,N,AD,3.3995293245614584
2016-08-04 00:00:00,13924,1611152,20.65,13924,OCCASION,2141,2016,N,PARTNER,3.027715319407042
2015-06-28 00:00:00,13254,1329201,33.95,13254,OCCASION,2204,2015,N,REFERRAL,3.5248888540047054
2015-06-16 00:00:00,13166,1293077,23.35,13166,OCCASION,2141,2015,N,PARTNER,3.150596984114906
2012-12-13 00:00:00,11089,1064435,18.51,11089,OCCASION,2236,2012,N,WEB,2.9183111265854063
2014-06-09 00:00:00,12139,1116280,23.35,12139,OCCASION,2141,2014,N,PARTNER,3.150596984114906
2015-01-22 00:00:00,11105,1222058,21.13,11105,OCCASION,2144,2015,N,AD,3.0506938316279655
2012-06-08 00:00:00,11097,1062279,17.65,11097,OCCASION,2141,2012,N,PARTNER,2.8707357833793057
2011-09-06 00:00:00,11088,1065906,17.41,11088,OCCASION,2236,2011,N,WEB,2.8570447537800976
