shipdate,productid,orderid,totalprice,PRODUCTID,PRODUCTGROUPNAME,campaignid,shipyear,freeshippingflag,channel,log_totalprice
2010-04-12 00:00:00,10361,1008699,175.0,10361,ARTWORK,2141,2010,N,PARTNER,5.1647859739235145
2015-09-23 00:00:00,13079,1392115,1150.0,13079,ARTWORK,2236,2015,N,WEB,7.047517221357296
2010-11-10 00:00:00,10361,1033013,175.0,10361,ARTWORK,2141,2010,N,PARTNER,5.1647859739235145
2014-06-11 00:00:00,10787,1117549,306.0,10787,ARTWORK,2141,2014,N,PARTNER,5.723585101952381
2016-06-09 00:00:00,11856,1576129,0.0,11856,ARTWORK,2141,2016,N,PARTNER,-inf
2015-12-11 00:00:00,11410,1454146,405.0,11410,ARTWORK,2015,2015,N,PARTNER,6.003887067106539
2011-10-19 00:00:00,11023,1075466,175.0,11023,ARTWORK,2141,2011,N,PARTNER,5.1647859739235145
2011-01-04 00:00:00,11009,1032149,10.0,11009,ARTWORK,2173,2011,N,AD,2.302585092994046
2016-04-29 00:00:00,12171,1547139,40.45,12171,ARTWORK,2141,2016,N,PARTNER,3.700066643504501
2016-07-25 00:00:00,13907,1605198,175.5,13907,ARTWORK,2141,2016,N,PARTNER,5.167639042905921
2015-07-27 00:00:00,13077,1342204,1066.83,13077,ARTWORK,2141,2015,N,PARTNER,6.972446913397272
2011-02-04 00:00:00,10022,1015029,173.55,10022,ARTWORK,2236,2011,N,WEB,5.1564657423077955
