polar,channel,orderyear,TotalSpent
N,MAIL,2011,0.0
N,PARTNER,2011,11.628701991430518
N,REFERRAL,2011,3.125
N,WEB,2011,8.548725099601596
NNE,AD,2011,9.590422272047837
NNE,BULK,2011,0.0
NNE,CATALOG,2011,0.0
NNE,EMAIL,2011,0.0
NNE,EMPLOYEE,2011,0.0
NNE,INSERT,2011,4.981698113207547
NNE,MAIL,2011,0.0
NNE,PARTNER,2011,16.93675939219909
NNE,REFERRAL,2011,1.7
NNE,WEB,2011,4.873500000000001
NE,AD,2011,14.308973302469154
NE,BULK,2011,1.4285714285714286
NE,CATALOG,2011,0.0
NE,CONFERENCE,2011,0.0
NE,EMAIL,2011,0.0
NE,EMPLOYEE,2011,1.2792307692307692
NE,INSERT,2011,8.445208333333335
NE,MAIL,2011,0.0
NE,PARTNER,2011,17.479287852726266
NE,REFERRAL,2011,2.156388888888889
NE,WEB,2011,11.155462143827974
ENE,AD,2011,19.472346652731677
ENE,BULK,2011,2.065043695380774
ENE,CATALOG,2011,0.0
ENE,EMAIL,2011,0.0
ENE,EMPLOYEE,2011,15.96291075370546
ENE,INSERT,2011,14.01295168247901
ENE,INTERNAL,2011,0.0
ENE,MAIL,2011,3.7727220630372496
ENE,PARTNER,2011,28.394742149793426
ENE,REFERRAL,2011,4.474849462365593
ENE,SURVEY,2011,0.0
ENE,WEB,2011,16.604872162065583
E,AD,2011,14.345148484848474
E,BULK,2011,6.5625
E,CATALOG,2011,0.0
E,CONFERENCE,2011,0.0
E,EMAIL,2011,0.0
E,EMPLOYEE,2011,1.0
E,INSERT,2011,14.282108695652173
E,INTERNAL,2011,0.0
E,MAIL,2011,0.0
E,PARTNER,2011,15.931953494687825
E,REFERRAL,2011,4.809324324324324
E,WEB,2011,7.362095103578155
ESE,AD,2011,11.170089335566718
ESE,BULK,2011,1.4285714285714286
ESE,CATALOG,2011,0.0
ESE,EMAIL,2011,0.0
ESE,EMPLOYEE,2011,46.12470588235294
ESE,INSERT,2011,18.391913398692818
ESE,MAIL,2011,1.4311926605504588
ESE,PARTNER,2011,22.354234487778285
ESE,REFERRAL,2011,1.9878720238095233
ESE,WEB,2011,9.456627252252252
SE,AD,2011,19.708939393939392
SE,INSERT,2011,4.970555555555555
SE,MAIL,2011,0.0
SE,PARTNER,2011,19.641219135802473
SE,REFERRAL,2011,1.86875
SE,WEB,2011,3.944308943089431
SSE,AD,2011,17.993336182336183
SSE,BULK,2011,0.0
SSE,EMAIL,2011,0.0
SSE,EMPLOYEE,2011,0.0
SSE,INSERT,2011,24.014042553191487
SSE,MAIL,2011,0.0
SSE,PARTNER,2011,19.7310497503971
SSE,REFERRAL,2011,8.693333333333333
SSE,WEB,2011,7.170190329218106
S,AD,2011,13.679166666666665
S,BULK,2011,0.0
S,CATALOG,2011,0.0
S,CONFERENCE,2011,0.0
S,EMAIL,2011,0.0
S,EMPLOYEE,2011,0.0
S,INSERT,2011,21.418373493975906
S,INTERNAL,2011,0.0
S,MAIL,2011,0.0
S,PARTNER,2011,12.642352315608923
S,REFERRAL,2011,6.687894736842105
S,WEB,2011,10.365589780324738
SSW,AD,2011,17.356774193548386
SSW,EMPLOYEE,2011,0.0
SSW,INSERT,2011,320.1425
SSW,MAIL,2011,0.0
SSW,PARTNER,2011,15.2075
SSW,REFERRAL,2011,0.0
SSW,WEB,2011,0.8738983050847458
SW,AD,2011,20.29267857142857
SW,EMPLOYEE,2011,0.0
SW,INSERT,2011,0.0
SW,MAIL,2011,0.0
SW,PARTNER,2011,9.132692307692308
SW,REFERRAL,2011,2.5
SW,WEB,2011,1.0542372881355933
WSW,AD,2011,16.28234013605441
WSW,BULK,2011,1.4285714285714286
WSW,CATALOG,2011,0.0
WSW,EMAIL,2011,0.0
WSW,EMPLOYEE,2011,0.0
WSW,INSERT,2011,12.944194101508918
WSW,MAIL,2011,0.0
WSW,PARTNER,2011,26.450067324109718
WSW,REFERRAL,2011,2.559134615384615
WSW,WEB,2011,23.83268492176386
W,AD,2011,19.91730441176471
W,BULK,2011,0.0
W,CATALOG,2011,0.0
W,EMAIL,2011,0.0
W,EMPLOYEE,2011,0.0
W,INSERT,2011,13.664835526315787
W,MAIL,2011,0.9640449438202247
W,PARTNER,2011,21.613381514724313
W,REFERRAL,2011,2.6886956521739127
W,WEB,2011,16.378065144937068
WNW,AD,2011,11.192181051587298
WNW,BULK,2011,0.0
WNW,CATALOG,2011,0.0
WNW,EMAIL,2011,0.0
WNW,EMPLOYEE,2011,0.0
WNW,INSERT,2011,9.445876623376625
WNW,MAIL,2011,0.0
WNW,PARTNER,2011,16.458552076891355
WNW,REFERRAL,2011,3.9449999999999994
WNW,WEB,2011,9.864589483394836
NW,AD,2011,9.438076923076922
NW,CATALOG,2011,0.0
NW,EMAIL,2011,0.0
NW,INSERT,2011,15.89
NW,MAIL,2011,0.0
NW,PARTNER,2011,2.0966666666666667
NW,REFERRAL,2011,0.0
NW,WEB,2011,0.308
NNW,AD,2011,12.534186046511628
NNW,BULK,2011,0.0
NNW,CATALOG,2011,0.0
NNW,INSERT,2011,1.0625
NNW,MAIL,2011,0.0
NNW,PARTNER,2011,7.24888888888889
NNW,REFERRAL,2011,21.0
NNW,WEB,2011,2.8054166666666664
N,AD,2012,13.028302469135806
N,CATALOG,2012,0.0
N,EMAIL,2012,0.0
N,EMPLOYEE,2012,0.0
N,INSERT,2012,0.0
N,INTERNAL,2012,0.0
N,MAIL,2012,0.0
N,PARTNER,2012,20.35992075664621
N,REFERRAL,2012,0.0
N,WEB,2012,15.098937583001327
NNE,AD,2012,13.027982062780266
NNE,BULK,2012,0.0
NNE,CATALOG,2012,0.0
NNE,EMAIL,2012,0.0
NNE,EMPLOYEE,2012,0.0
NNE,INSERT,2012,0.0
NNE,MAIL,2012,0.0
NNE,PARTNER,2012,18.738653431995136
NNE,REFERRAL,2012,0.0
NNE,WEB,2012,10.841804597701152
NE,AD,2012,14.671494598765454
NE,BULK,2012,0.0
NE,CATALOG,2012,0.0
NE,CONFERENCE,2012,0.0
NE,EMAIL,2012,0.0
NE,EMPLOYEE,2012,19.665
NE,INSERT,2012,0.4820547945205479
NE,MAIL,2012,0.0
NE,PARTNER,2012,25.06341037803166
NE,REFERRAL,2012,1.8374444444444444
NE,WEB,2012,15.384635260806135
ENE,AD,2012,17.57493375427107
ENE,BULK,2012,3.1395131086142323
ENE,CATALOG,2012,0.0
ENE,EMAIL,2012,0.0
ENE,EMPLOYEE,2012,21.233
ENE,INSERT,2012,0.33007453416149074
ENE,INTERNAL,2012,0.0
ENE,MAIL,2012,0.058022922636103154
ENE,PARTNER,2012,33.78531370555124
ENE,REFERRAL,2012,2.6636774193548396
ENE,SURVEY,2012,0.0
ENE,WEB,2012,22.36063440171029
E,AD,2012,14.972860269360257
E,BULK,2012,0.0
E,CATALOG,2012,0.0
E,CONFERENCE,2012,0.0
E,EMAIL,2012,0.0
E,EMPLOYEE,2012,12.97764705882353
E,INSERT,2012,0.21695652173913044
E,INTERNAL,2012,0.0
E,MAIL,2012,0.0
E,PARTNER,2012,20.391698847942465
E,REFERRAL,2012,3.577027027027027
E,WEB,2012,13.603894325621027
ESE,AD,2012,20.24487576772753
ESE,BULK,2012,968.5714285714286
ESE,CATALOG,2012,0.0
ESE,EMAIL,2012,0.0
ESE,EMPLOYEE,2012,13.652156862745098
ESE,INSERT,2012,0.20294117647058824
ESE,MAIL,2012,0.0
ESE,PARTNER,2012,27.49040200465524
ESE,REFERRAL,2012,1.7803571428571427
ESE,WEB,2012,15.867575450450452
SE,AD,2012,6.218964646464645
SE,INSERT,2012,1.1097222222222223
SE,MAIL,2012,0.0
SE,PARTNER,2012,21.065956790123455
SE,REFERRAL,2012,0.0
SE,WEB,2012,4.333130081300812
SSE,AD,2012,19.864803418803415
SSE,BULK,2012,0.0
SSE,EMAIL,2012,0.0
SSE,EMPLOYEE,2012,0.0
SSE,INSERT,2012,0.0
SSE,MAIL,2012,0.0
SSE,PARTNER,2012,27.012469556009382
SSE,REFERRAL,2012,0.0
SSE,WEB,2012,20.351704879482657
S,AD,2012,15.377575136612023
S,BULK,2012,0.0
S,CATALOG,2012,0.0
S,CONFERENCE,2012,0.0
S,EMAIL,2012,0.0
S,EMPLOYEE,2012,83.5025
S,INSERT,2012,0.3608433734939759
S,INTERNAL,2012,0.0
S,MAIL,2012,0.0
S,PARTNER,2012,27.76238270167986
S,REFERRAL,2012,28.665789473684214
S,WEB,2012,25.285604277527625
SSW,AD,2012,26.17258064516129
SSW,EMPLOYEE,2012,43.166666666666664
SSW,INSERT,2012,0.0
SSW,MAIL,2012,0.0
SSW,PARTNER,2012,56.88250000000001
SSW,REFERRAL,2012,7.99
SSW,WEB,2012,6.80635593220339
SW,AD,2012,7.764285714285714
SW,EMPLOYEE,2012,43.96
SW,INSERT,2012,4.438888888888889
SW,MAIL,2012,0.0
SW,PARTNER,2012,17.240384615384613
SW,REFERRAL,2012,11.25
SW,WEB,2012,14.61635593220339
WSW,AD,2012,19.41573590864917
WSW,BULK,2012,0.0
WSW,CATALOG,2012,0.0
WSW,EMAIL,2012,0.0
WSW,EMPLOYEE,2012,0.0
WSW,INSERT,2012,0.11008230452674897
WSW,MAIL,2012,0.0
WSW,PARTNER,2012,27.53329685713121
WSW,REFERRAL,2012,2.310576923076923
WSW,WEB,2012,28.81891073968709
W,AD,2012,17.950400326797396
W,BULK,2012,0.0
W,CATALOG,2012,0.0
W,EMAIL,2012,0.0
W,EMPLOYEE,2012,11.448333333333332
W,INSERT,2012,0.32048245614035087
W,MAIL,2012,0.0
W,PARTNER,2012,29.893203497386626
W,REFERRAL,2012,0.7752717391304348
W,WEB,2012,28.31830965500975
WNW,AD,2012,13.5531746031746
WNW,BULK,2012,0.0
WNW,CATALOG,2012,0.0
WNW,EMAIL,2012,0.0
WNW,EMPLOYEE,2012,0.0
WNW,INSERT,2012,0.0
WNW,MAIL,2012,0.0
WNW,PARTNER,2012,22.287931459566067
WNW,REFERRAL,2012,0.8056451612903226
WNW,WEB,2012,23.501631523458098
NW,AD,2012,2.8615384615384616
NW,CATALOG,2012,0.0
NW,EMAIL,2012,0.0
NW,INSERT,2012,0.0
NW,MAIL,2012,0.0
NW,PARTNER,2012,0.8966666666666666
NW,REFERRAL,2012,8.7375
NW,WEB,2012,7.292666666666666
NNW,AD,2012,7.064186046511626
NNW,BULK,2012,0.0
NNW,CATALOG,2012,0.0
NNW,INSERT,2012,0.0
NNW,MAIL,2012,0.0
NNW,PARTNER,2012,3.362222222222222
NNW,REFERRAL,2012,0.0
NNW,WEB,2012,18.064131944444444
N,AD,2013,31.428611111111103
N,CATALOG,2013,0.0
N,EMAIL,2013,0.0
N,EMPLOYEE,2013,0.0
N,INSERT,2013,9.282876344086018
N,INTERNAL,2013,0.0
N,MAIL,2013,0.0
N,PARTNER,2013,32.2246881390593
N,REFERRAL,2013,1.871875
N,WEB,2013,26.567869159724722
NNE,AD,2013,14.962421524663673
NNE,BULK,2013,0.0
NNE,CATALOG,2013,0.0
NNE,EMAIL,2013,0.0
NNE,EMPLOYEE,2013,0.0
NNE,INSERT,2013,11.816981132075473
NNE,MAIL,2013,0.0
NNE,PARTNER,2013,20.50948659966499
NNE,REFERRAL,2013,7.498333333333333
NNE,WEB,2013,21.75186522988504
NE,AD,2013,18.31678641975311
NE,BULK,2013,0.0
NE,CATALOG,2013,0.0
NE,CONFERENCE,2013,100.0
NE,EMAIL,2013,0.0
NE,EMPLOYEE,2013,14.387115384615386
NE,INSERT,2013,8.552674086757985
NE,MAIL,2013,0.0
NE,PARTNER,2013,22.594349356871074
NE,REFERRAL,2013,1.6789999999999998
NE,WEB,2013,28.813512170429465
ENE,AD,2013,23.549957061951837
ENE,BULK,2013,1.8906637682796001
ENE,CATALOG,2013,0.0
ENE,EMAIL,2013,0.0
ENE,EMPLOYEE,2013,16.674674392935984
ENE,INSERT,2013,10.95236402736322
ENE,INTERNAL,2013,0.0
ENE,MAIL,2013,0.0
ENE,PARTNER,2013,30.78946110828233
ENE,REFERRAL,2013,11.103939068100358
ENE,SURVEY,2013,0.0
ENE,WEB,2013,42.759186406290574
E,AD,2013,19.633748148148143
E,BULK,2013,0.0
E,CATALOG,2013,0.0
E,CONFERENCE,2013,100.0
E,EMAIL,2013,0.0
E,EMPLOYEE,2013,8.027058823529412
E,INSERT,2013,9.02989130434783
E,INTERNAL,2013,0.0
E,MAIL,2013,0.0
E,PARTNER,2013,22.718123043494273
E,REFERRAL,2013,5.615
E,WEB,2013,32.05395146735722
ESE,AD,2013,22.047462311557815
ESE,BULK,2013,513.1428571428571
ESE,CATALOG,2013,0.0
ESE,EMAIL,2013,0.0
ESE,EMPLOYEE,2013,10.081176470588234
ESE,INSERT,2013,9.93857843137255
ESE,MAIL,2013,0.0
ESE,PARTNER,2013,23.487181012367678
ESE,REFERRAL,2013,5.993125
ESE,WEB,2013,33.828659044109074
SE,AD,2013,24.644987373737376
SE,INSERT,2013,6.497685185185186
SE,MAIL,2013,0.0
SE,PARTNER,2013,37.26746913580247
SE,REFERRAL,2013,1.99375
SE,WEB,2013,21.980842714196363
SSE,AD,2013,21.43940170940171
SSE,BULK,2013,0.0
SSE,EMAIL,2013,0.0
SSE,EMPLOYEE,2013,0.0
SSE,INSERT,2013,9.97606382978723
SSE,MAIL,2013,0.0
SSE,PARTNER,2013,31.195407817109146
SSE,REFERRAL,2013,25.0
SSE,WEB,2013,35.674542707720924
S,AD,2013,17.57547131147541
S,BULK,2013,0.0
