productgroupname,last_month,this_month,last_yr_month,range,measures,markers
APPAREL,1974,1017,1850.0500000000018,"[0, 1017]","[0, 1850]",[1974]
ARTWORK,177993,87258,118121.50000000003,"[0, 87258]","[0, 118121]",[177993]
BOOK,14271,2807,15662.330000000014,"[0, 2807]","[0, 15662]",[14271]
CALENDAR,533,132,374.1099999999999,"[0, 132]","[0, 374]",[533]
GAME,3621,2349,1800.6700000000028,"[0, 2349]","[0, 1800]",[3621]
OCCASION,9430,7589,5661.229999999992,"[0, 7589]","[0, 5661]",[9430]
OTHER,872,812,1722.320000000001,"[0, 812]","[0, 1722]",[872]
