antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
['FR-12507'],['AP-12510'],0.004639455110804008,0.009723113370514782,0.004639455110804008,1.0,102.84771573604061,0.004594345162784247,inf
['AP-13144'],['FR-12820'],0.016534228320418537,0.40881496471052764,0.016238092887814026,0.982089552238806,2.402283764084323,0.009478652920486316,33.007831136995605
['AP-13144'],['FR-13190'],0.016534228320418537,0.13044765806228714,0.016139381076945857,0.9761194029850747,7.482843444525388,0.013982529714680116,36.41250431864186
['AR-11064'],['AR-11067'],0.010858299195498742,0.010019248803119293,0.009278910221608016,0.8545454545454546,85.29037169726826,0.009170118220389604,6.806117664478558
['AR-11067'],['AR-11064'],0.010019248803119293,0.010858299195498742,0.009278910221608016,0.9261083743842365,85.29037169726826,0.009170118220389604,13.3863843508876
['AR-12172'],['FR-12820'],0.00513301416514486,0.40881496471052764,0.004244607867331327,0.826923076923077,2.022731916158211,0.0021461548625489922,3.4157357594502855
['BK-13194'],['BK-11195'],0.005873352746656137,0.020877547998618035,0.004836878732540349,0.823529411764706,39.445696008900015,0.00471425752865922,5.548360561341166
['CA-12176'],['FR-12820'],0.007551453531415034,0.40881496471052764,0.0064656236118651594,0.8562091503267973,2.0943684166088663,0.003378476402906533,4.1114231999676925
['FR-12506'],['FR-12820'],0.023641478702926804,0.40881496471052764,0.022753072405113272,0.9624217118997913,2.3541743697696087,0.01308808212347156,15.732090661314324
['GA-12830'],['FR-12506'],0.025072799960515275,0.023641478702926804,0.02018656532254084,0.8051181102362205,34.05531948120264,0.019593807256251577,5.010001301201144
['FR-12506'],['GA-12830'],0.023641478702926804,0.025072799960515275,0.02018656532254084,0.8538622129436326,34.05531948120264,0.019593807256251577,6.671287554555906
['FR-12507'],['FR-12820'],0.004639455110804008,0.40881496471052764,0.004442031489067667,0.9574468085106383,2.3420052863979284,0.00254535281166825,13.892848329302616
['FR-12819'],['FR-12820'],0.09185134001283253,0.40881496471052764,0.09042001875524407,0.9844169801182161,2.4079768724103796,0.05286981642928326,37.937770712886696
['FR-12951'],['FR-12820'],0.009673757465080698,0.40881496471052764,0.009575045654212527,0.9897959183673469,2.421134263194593,0.005620268837507358,57.936133458368225
['FR-13190'],['FR-12820'],0.13044765806228714,0.40881496471052764,0.12620305019495584,0.9674612183125239,2.3665014782361515,0.07287409546765095,18.168628468256802
['GA-11989'],['FR-12820'],0.018804599970386457,0.40881496471052764,0.016040669266077685,0.853018372703412,2.0865634732999916,0.008353067392788557,4.022169615094443
['GA-12830'],['FR-12820'],0.025072799960515275,0.40881496471052764,0.021173683431222546,0.844488188976378,2.065697838566992,0.010923547600170376,3.8015442775576207
['FR-12951'],['OT-12823'],0.009673757465080698,0.01969300626819999,0.009673757465080698,1.0,50.77944862155389,0.009483252098683817,inf
